Process Monitor Report - 2026-06-12 15:19:33.932545
====================================================================================================
PID      PPID     Name                           Memory(MB)   CPU%     Status    
====================================================================================================
2383     1074     chrome                         829.0        0.0      sleeping  
3124     2408     chrome                         650.3        0.0      sleeping  
1444     1074     plasmashell                    450.6        0.0      sleeping  
3015     2408     chrome                         388.8        0.0      sleeping  
8095     7688     code                           379.9        0.0      sleeping  
7800     7694     code                           335.3        0.0      sleeping  
2575     2408     chrome                         292.8        0.0      sleeping  
1910     1074     krunner                        276.3        0.0      sleeping  
7688     1074     code                           258.4        0.0      sleeping  
3141     2408     chrome                         246.6        0.0      sleeping  
2458     2405     chrome                         240.5        0.0      sleeping  
1218     1204     kwin_wayland                   239.6        0.0      sleeping  
2771     2408     chrome                         227.7        0.0      sleeping  
2949     2408     chrome                         207.0        0.0      sleeping  
1488     1074     polkit-kde-authentication-age  206.1        0.0      sleeping  
2758     2408     chrome                         202.8        0.0      sleeping  
2795     2408     chrome                         200.8        0.0      sleeping  
2874     2408     chrome                         197.6        0.0      sleeping  
2987     2408     chrome                         176.5        0.0      sleeping  
7737     7691     code                           171.3        0.0      sleeping  
1380     1074     kded6                          155.6        0.0      sleeping  
3045     2408     chrome                         155.0        0.0      sleeping  
3083     2408     chrome                         150.6        0.0      sleeping  
1766     1074     xdg-desktop-portal-kde         149.7        0.0      sleeping  
2463     2383     chrome                         146.1        0.0      sleeping  
2594     2408     chrome                         145.7        0.0      sleeping  
3676     2408     chrome                         142.4        0.0      sleeping  
3044     2408     chrome                         137.4        0.0      sleeping  
7334     2408     chrome                         136.7        0.0      sleeping  
7345     2383     plasma-browser-integration-ho  131.1        0.0      sleeping  
1169     1        ksecretd                       124.5        0.0      sleeping  
8085     7688     code                           121.9        0.0      sleeping  
7578     2408     chrome                         120.9        0.0      sleeping  
2641     1074     kwalletd6                      118.0        0.0      sleeping  
1487     1074     kaccess                        117.7        0.0      sleeping  
2066     1074     baloorunner                    117.4        0.0      sleeping  
1378     1074     ksmserver                      116.7        0.0      sleeping  
7848     7688     code                           114.5        0.0      sleeping  
7435     2408     chrome                         114.1        0.0      sleeping  
8794     2408     chrome                         113.8        0.0      sleeping  
2823     2408     chrome                         113.7        0.0      sleeping  
8101     7688     code                           109.1        0.0      sleeping  
2620     2408     chrome                         108.8        0.0      sleeping  
8805     2408     chrome                         108.5        0.0      sleeping  
917      915      Xorg                           98.6         0.0      sleeping  
8815     2408     chrome                         98.4         0.0      sleeping  
1309     1218     Xwayland                       93.0         0.0      sleeping  
3649     2383     chrome                         83.0         0.0      sleeping  
8592     2408     chrome                         78.9         0.0      sleeping  
7743     7688     code                           76.2         0.0      sleeping  
2642     2408     chrome                         68.1         0.0      sleeping  
417      1        systemd-journald               65.6         0.0      sleeping  
2405     2383     chrome                         63.9         0.0      sleeping  
2406     2383     chrome                         63.6         0.0      sleeping  
